player_id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_name,npg,npxG,xGChain,xGBuildup,year,league_name
5037,Darko Brasanac,5,194,1,0.4775608703494072,0,0.03311805799603462,3,1,1,0,M S,Osasuna,1,0.4775608703494072,0.9894033595919609,0.4787244349718094,2020,La liga
5090,David García,17,1530,1,1.0771280257031322,0,0.14024342596530914,9,3,5,0,D,Osasuna,1,1.0771280257031322,1.4702815283089876,1.39712898992002,2020,La liga
2188,Rubén Martínez,3,187,0,0,0,0,0,0,0,1,GK,Osasuna,0,0,0.12295924127101898,0.12295924127101898,2020,La liga
2216,Jony,12,558,0,0.4199853129684925,1,1.9239710755646229,7,13,0,0,M S,Osasuna,0,0.4199853129684925,1.8741288483142853,0.9010635018348694,2020,La liga
4130,Raúl Navas,2,169,0,0,0,0.01472005620598793,0,1,0,0,D,Osasuna,0,0,0.3662450350821018,0.3515249788761139,2020,La liga
5128,Oier,17,1316,0,0.4910118207335472,2,0.9786862032487988,10,8,6,0,M S,Osasuna,0,0.4910118207335472,1.7210321836173534,0.8113315440714359,2020,La liga
5140,Kike Barja,15,323,0,0.5236534141004086,1,0.6069559641182423,5,5,1,0,M S,Osasuna,0,0.5236534141004086,1.6395715922117233,0.6114195324480534,2020,La liga
5141,Unai García,8,646,0,0.11015873402357101,0,0.06705513782799244,1,2,2,0,D S,Osasuna,0,0.11015873402357101,0.8993067853152752,0.8815045347437263,2020,La liga
5159,Marc Cardona,3,46,0,0.2578476667404175,0,0,1,0,0,0,S,Osasuna,0,0.2578476667404175,0.2578476667404175,0,2020,La liga
5162,Nacho Vidal,17,904,0,0.12820370867848396,0,0.534864217042923,4,5,4,0,D M S,Osasuna,0,0.12820370867848396,1.5306465309113264,1.4476255644112825,2020,La liga
7050,Lucas Torró,7,211,0,0.17384067177772522,1,0.29931069910526276,5,5,1,0,M S,Osasuna,0,0.17384067177772522,0.685683511197567,0.32399631664156914,2020,La liga
7349,Enric Gallego,12,589,0,1.791998989880085,1,0.23125183023512363,10,4,1,0,F S,Osasuna,0,1.791998989880085,1.7046246342360973,0.3936537755653262,2020,La liga
7856,Aridane Hernández,11,856,0,0.06302430480718613,0,0.31433458905667067,1,4,3,1,D,Osasuna,0,0.06302430480718613,1.2682910179719329,1.048867054283619,2020,La liga
7857,Jon Moncayola,17,1358,0,0.424749203491956,0,0.19441448617726564,19,5,1,1,M S,Osasuna,0,0.424749203491956,2.7087747007608414,2.264193296432495,2020,La liga
7859,Sergio Herrera,16,1428,0,0,0,0.12017504125833511,0,1,2,0,GK S,Osasuna,0,0,1.0806939080357552,0.96051886677742,2020,La liga
8131,Iñigo Pérez,15,1028,0,0.14889666438102722,0,1.044779754243791,6,12,2,1,D M S,Osasuna,0,0.14889666438102722,2.6535394862294197,2.171289883553982,2020,La liga
